canonical_smiles
Cc1cc(cn1C)c2csc(N=C(N)N)n2
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN4CCOCC4
COc1c(O)cc(O)c(C(=N)Cc2ccc(O)cc2)c1O
CCOC(=O)c1cc2cc(ccc2[nH]1)C(=O)O
C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(=O)N)C(=O)\C=C\C(=O)N(Cc2occc2)Cc3occc3
COc1ccc2c3ccc4cc5OCOc5cc4c3N(C)C(CC6(C)OC7=C(C=C6)C(=O)N(C)c8c(OC)cccc78)c2c1OC
COc1cccc(CNC2(CCC(C)(C)C)C(=O)C(=C(O)c3ccccc23)C4=NS(=O)(=O)c5cc(NS(=O)(=O)C)ccc5N4)c1
C[C@H]1CN(CCC(=O)N[C@@H](CCc2ccccc2)C(=O)O)CC[C@@]1(C)c3cccc(O)c3
ONC(=O)c1ccc(I)cc1
COc1cc(CC=C)ccc1OC(=O)C23CC4CC(CC(C4)C2)C3
Cc1cccc(c1)N2CCN(CCCON3C(=O)c4ccccc4C3=O)CC2
Fc1ccc(cc1)C2CCN(CCN3C(=N)Sc4ccccc34)CC2
CCCCCCCCCCCCCC(=O)NCc1ccc(cc1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O
Fc1cnc(NC(=O)[C@H](CC2CCOCC2)c3ccc(cc3)S(=O)(=O)C4CC4)s1
Oc1ccc(cc1)\N=C(\Cc2ccc(Cl)cc2)/c3ccc(O)c(O)c3O
COc1cc(ccc1O)C(O)C(COC(=O)\C=C\c2ccc(O)cc2)Oc3c(OC)cc(\C=C\COC(=O)\C=C\c4ccc(O)cc4)cc3OC
CC(=CCC\C(=C\Cc1c(O)c2C(=O)C3=C(Oc2c4C=CC(C)(C)Oc14)c5c(O)cc(O)c6OC(C)(C)C(C3)c56)\C)C
CC(C)(C)OC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](N)Cc4ccc(O)cc4
COc1ccccc1OCCN2CCN(CC2)C3=NN(CN4N=C(C=CC4=O)N5CCN(CCOc6ccccc6OC)CC5)C(=O)C=C3
OCCS(=O)(=O)c1no[n+]([O-])c1c2ccccc2
CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@@H](O1)[C@H](O)CCC(O)CCCC(O)CCC[C@@H](O)CC2=C[C@H](C)OC2=O
CNc1nc2sc(SC)nc2c3c1ncn3C
OC[C@@H]1CCCN1C(=O)[C@@]2(Cc3ccc(OCc4cc(nc5ccccc45)c6ccccc6)cc3)C[C@@H]2C(=O)NO
Cl.CCCC1(C)CC(=O)N(CCCCN2CCN(CC2)c3nsc4ccccc34)C(=O)C1
CCCCCC(O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(=O)N)[C@@H]2C[C@H]1OC(=O)O2
Cl.O=C(Nc1ccc2c(c1)c3ccccc3n2CCCCN4CCN(C\C=C\c5ccccc5)CC4)c6ccccc6
CC(=CCC\C(=C\C=C\C(=O)N1CCCC1)\C)C
Cl.CNC(=O)c1cc(ccc1O)C(O)CNC(C)CCc2ccc3OCOc3c2
CNC(=O)[C@H](CCCNC(=O)OC(C)(C)C)NC(=O)[C@H](CCCc1ccccc1)[C@@](C)(O)C(=O)NO
COc1ccccc1N2CCN(CCCNC(=O)c3ccccc3I)CC2.OC(=O)C(=O)O
